Rank,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
116,COMMERCIAL PROPERTY MAINTENANCE SERVICES ,Johnstone,34.9,1.4,May 24
117,J K R CONTRACTORS ,Ellon,33.0,1.6,Mar 25
118,THE ROYAL EDINBURGH MILITARY TATTOO ,Edinburgh,20.5,6.2,Dec 24
119,ECG BUILDING MAINTENANCE ,Glasgow,62.0,0.4,Dec 24
120,TSL CONTRACTORS ,Isle Of Mull,36.5,1.2,Dec 24
121,THE GLENALLACHIE DISTILLERS CO ,Aberlour,20.0,6.9,Dec 24
122,NATIONALTRUST FOR SCOTLAND ENTERPRISES ,Edinburgh,21.8,4.1,Feb 25
123,PARKLANDS ,Grantown-On-Spey,27.4,2.2,Dec 24
124,JOSEPH ROBERTSON (ABERDEEN) ,Aberdeen,41.4,0.8,Dec 24
125,CRIEFF HYDRO ,Crieff,40.6,0.8,Feb 25
126,AVONDALE CARE (SCOTLAND) ,Falkirk,21.3,4.5,Apr 25
127,ABBOTSFORD CARE (GLENROTHES) ,Kirkcaldy,18.4,12.3,Mar 25
128,SPACE SOLUTIONS (SCOTLAND) ,Aberdeen,40.4,0.8,Jun 24
129,WILLIAM STEPHEN (BAKERS) ,Dunfermline,20.5,5.3,Jun 24
130,TUBE DEVELOPMENTS ,Glasgow,25.0,2.6,Sep 24
131,OCEANSCAN ,Aberdeen,38.1,3.8,Dec 24
132,CAIRNHILL STRUCTURES ,Coatbridge,23.0,2.9,Mar 25
133,FARMER AUTOCARE ,Edinburgh,22.0,3.5,Jul 25
134,GILLESPIE MACANDREW LLP,Edinburgh,19.6,6.3,Feb 25
135,ZENITH ENERGY ,Aberdeen,37.5,1.0,Dec 24
136,JAMES P SIM & CO  (T/A SIMPAC),Glasgow,28.6,1.8,Aug 25
137,MARSHALL CONSTRUCTION ,Alloa,60.7,0.3,Jul 25
138,REALM CONSTRUCTION ,Lochgelly,22.8,2.8,Aug 24
139,KICK ICT GROUP ,Bellshill,28.7,1.7,Sep 24
140,STRUAN MOTORS ,Perth,55.3,0.4,Mar 25
141,BELLS FOOD GROUP ,Shotts,28.9,1.6,Mar 25
142,BILLY BOWIE SPECIAL PROJECTS ,Kilmarnock,19.6,5.6,May 24
143,WELDEX (INTERNATIONAL) OFFSHORE ,Inverness,23.6,2.5,Nov 24
144,ALEXANDER ROSS  ,Falkirk,28.4,1.7,Dec 24
145,TURNING POINT SCOTLAND SERVICES ,Glasgow,38.8,0.7,Mar 24
146,TAYLOR & FRASER ,Paisley,34.7,1.1,Jun 24
147,BORDER BISCUITS ,Lanark,25.9,2.1,Dec 24
148,J & M MURDOCH & SON ,Glasgow,28.7,1.6,Mar 25
149,CURRIE INTERNATIONAL  ,Dumfries,64.8,0.2,Jun 24
150,CURTIS MOORE (CLADDING SYSTEMS) ,Glasgow,25.6,2.1,Mar 25
151,ENERQUIP ,Aberdeen,21.8,3.0,Dec 24
152,AGRICAR ,Forfar,42.6,0.5,Dec 24
153,TOOLDEN ,Ellon,39.5,0.6,Jul 24
154,ELLSWORTH ADHESIVES ,Glasgow,35.0,0.8,Sep 25
155,ANDREW STRAIN CONSTRUCTION ,Glasgow,33.4,1.0,Nov 24
156,JOHN LAWRIE TUBULARS ,Montrose,25.8,1.8,Dec 24
157,BLACKADDERS LLP,Dundee,18.2,6.2,Mar 25
158,CRAIG OF CAMPBELTOWN ,Campbeltown,37.0,0.7,Mar 25
159,REGENCY CAR SALES  (T/A SCOTTISHVAUXHALL),Buckie,31.7,1.1,Dec 24
160,HUB SOUTH EAST SCOTLAND ,Edinburgh,78.0, (0.3),Mar 24
161,BINN GROUP ,Edinburgh,26.1,1.8,Mar 25
162,ROSLIN CELL THERAPIES ,Edinburgh,27.5,1.5,Dec 24
163,HUB WEST SCOTLAND ,Glasgow,42.3,0.4,Mar 25
164,SYMBIOSIS PHARMACEUTICAL SERVICES ,Stirling,19.3,4.2,Dec 24
165,RAVENHILL ,Elgin,43.0,0.4,Dec 24
166,SELLARS AGRICULTURE ,Inverurie,46.1,0.3,Sep 24
167,RABBIE'S TRAIL BURNERS ,Edinburgh,23.1,2.1,Dec 24
168,JOHN MCGEADY ,Glasgow,21.1,2.7,Mar 25
169,MACKIE'S ,Inverurie,22.3,2.2,May 24
170,GAEL FORCE GROUP ,Inverness,27.1,1.5,Dec 24
171,DM HALL LLP,Edinburgh,20.0,3.2,Dec 24
172,AQUASCOT ,Alness,77.3, (0.7),Jan 25
173,BSB STRUCTURAL ,Motherwell,20.2,3.0,Mar 25
174,WELDING ENGINEERS  ,Glasgow,20.3,2.9,Dec 24
175,ESWL ,Westhill,31.2,0.9,Mar 25
176,HAYTON COULTHARD TRANSPORT ,Kirkcudbright,26.1,1.5,Sep 24
177,JOHN GORDON & SON ,Nairn,26.8,1.5,Jun 25
178,JOHN PATON & SON GROUP ,Glasgow,19.4,3.4,Mar 25
179,SALTIRE CONNECT ,Edinburgh,19.0,3.7,Dec 24
180,PWR PACK ,Bellshill,20.1,2.9,Dec 24
